Unix,Date,Symbol,Open,High,Low,Close,Volume BTC,Volume EUR,tradecount
1595041200000,2020-07-18 03:00:00,BTCEUR,8040.89,8048.82,8036.96,8042.78,0.942809,7584.95465693,29
1595037600000,2020-07-18 02:00:00,BTCEUR,8045.0,8049.49,8028.0,8049.49,1.496792,12029.06143435,79
1595034000000,2020-07-18 01:00:00,BTCEUR,8051.03,8061.37,8045.0,8045.0,0.13874,1117.23731297,33
1595030400000,2020-07-18 00:00:00,BTCEUR,8048.36,8074.54,8047.73,8048.51,1.016866,8193.55293682,59
1595026800000,2020-07-17 23:00:00,BTCEUR,8063.98,8077.17,8052.69,8052.89,0.547577,4418.11084506,33
1595023200000,2020-07-17 22:00:00,BTCEUR,8045.92,8065.0,8043.14,8065.0,0.846992,6822.2019118,48
1595019600000,2020-07-17 21:00:00,BTCEUR,8052.38,8074.99,8043.2,8050.45,1.872304,15094.77093819,151
1595016000000,2020-07-17 20:00:00,BTCEUR,8056.99,8080.22,8043.12,8054.69,3.905085,31478.1416083,162
1595012400000,2020-07-17 19:00:00,BTCEUR,8057.41,8067.45,8029.76,8058.16,3.011441,24229.82970532,200
1595008800000,2020-07-17 18:00:00,BTCEUR,8046.92,8065.0,8040.45,8058.41,1.351862,10886.18782885,180
1595005200000,2020-07-17 17:00:00,BTCEUR,8043.73,8054.59,8026.63,8048.42,2.703257,21747.6607324,221
1595001600000,2020-07-17 16:00:00,BTCEUR,8043.53,8062.27,8035.71,8041.87,5.742033,46229.83509845,273
1594998000000,2020-07-17 15:00:00,BTCEUR,8055.17,8064.51,8017.0,8038.21,16.969248,136705.88554152,413
1594994400000,2020-07-17 14:00:00,BTCEUR,8059.65,8063.6,8010.78,8054.43,5.657971,45498.19297606,232
1594990800000,2020-07-17 13:00:00,BTCEUR,8066.54,8078.0,8005.72,8058.85,14.043818,112925.8107656,342
1594987200000,2020-07-17 12:00:00,BTCEUR,8047.39,8094.44,8038.92,8062.0,8.313893,67081.86264854,276
1594983600000,2020-07-17 11:00:00,BTCEUR,8022.69,8049.57,8003.82,8032.16,5.490094,44041.14531291,258
1594980000000,2020-07-17 10:00:00,BTCEUR,8024.43,8040.87,7980.46,8019.07,8.837028,70845.81119121,241
1594976400000,2020-07-17 09:00:00,BTCEUR,8023.14,8041.69,8007.02,8039.4,7.377215,59187.64078191,249
1594972800000,2020-07-17 08:00:00,BTCEUR,8034.33,8040.0,8011.69,8024.45,3.236763,25980.87588415,323
1594969200000,2020-07-17 07:00:00,BTCEUR,8051.05,8063.36,8019.04,8035.07,13.2136,106322.58500717,358
